frame,detected,best_confidence,best_class_id,x1,y1,x2,y2,num_boxes
222,1,0.763262,0,151.96,279.74,202.97,320.04,1
223,1,0.753087,0,152.22,279.52,202.73,319.73,1
224,1,0.749196,0,152.01,280.19,201.57,319.48,1
225,1,0.751434,0,153.05,279.14,202.37,319.83,1
226,1,0.750361,0,152.74,279.21,201.22,319.78,1
227,1,0.757263,0,152.83,279.02,201.01,319.74,1
228,1,0.770314,0,153.08,278.34,200.63,318.76,1
229,1,0.776388,0,152.46,277.6,200.73,318.98,1
230,1,0.776593,0,152.33,277.09,200.82,318.74,1
231,1,0.757236,0,154.24,277.33,202.72,319.17,1
232,1,0.742167,0,160.31,276.57,212.51,317.34,1
233,1,0.76572,0,172.62,277.28,222.48,316.68,1
234,1,0.759648,0,182.87,278.02,232.31,316.8,1
235,1,0.757765,0,192.11,277.46,240.81,317.32,1
236,1,0.751133,0,202.38,276.15,252.55,316.66,1
237,1,0.745954,0,213.01,276.18,263.31,316.81,1
238,1,0.738185,0,216.27,277.62,261.93,316.39,1
239,1,0.737722,0,214.52,277.17,260.64,316.59,1
240,1,0.7335,0,214.71,277.1,260.38,316.47,1
241,1,0.728315,0,215.02,276.92,260.17,316.14,1
242,1,0.716458,0,216.18,277.0,262.0,315.85,1
243,1,0.730152,0,217.45,277.92,264.22,316.02,1
244,1,0.735779,0,220.28,277.92,266.03,316.49,1
245,1,0.719237,0,222.16,277.06,267.09,315.83,1
246,1,0.711026,0,224.09,276.93,269.51,315.43,1
247,1,0.739691,0,225.91,277.82,273.59,316.2,1
248,1,0.725279,0,229.99,277.19,274.97,316.29,1
249,1,0.731386,0,232.95,277.57,279.67,316.33,1
250,1,0.733309,0,236.6,277.3,283.03,316.74,1
251,1,0.721437,0,239.92,277.93,284.32,315.4,1
252,1,0.736849,0,243.97,278.82,288.18,315.57,1
253,1,0.726469,0,247.86,277.62,291.8,315.2,1
254,1,0.731699,0,251.61,278.63,296.42,315.66,1
255,1,0.713343,0,255.77,277.67,299.92,315.24,1
256,1,0.734833,0,258.74,278.57,304.08,315.42,1
257,1,0.731046,0,263.62,277.56,308.44,315.26,1
258,1,0.746762,0,268.1,278.06,313.41,316.06,1
259,1,0.733731,0,272.24,278.36,317.64,316.01,1
260,1,0.727268,0,277.27,277.55,322.61,316.25,1
261,1,0.729032,0,281.01,278.68,328.72,315.73,1
262,1,0.723107,0,285.52,277.42,331.08,316.27,1
263,1,0.737094,0,281.1,278.61,329.16,316.95,1
264,1,0.73749,0,274.75,276.47,323.19,317.76,1
265,1,0.756783,0,270.52,278.42,318.27,317.15,1
266,1,0.759972,0,265.64,277.24,313.55,317.42,1
267,1,0.734526,0,262.31,277.94,308.73,316.87,1
268,1,0.753354,0,257.59,278.21,304.35,317.43,1
269,1,0.735814,0,253.96,278.07,300.6,316.84,1
270,1,0.761126,0,249.65,278.17,296.14,317.02,1
271,1,0.745385,0,246.32,278.32,292.56,316.74,1
272,1,0.766023,0,241.77,278.22,288.56,317.67,1
273,1,0.743995,0,239.31,279.46,284.88,316.48,1
274,1,0.75485,0,235.21,278.45,280.19,317.11,1
275,1,0.752103,0,237.73,277.17,285.33,316.31,1
276,1,0.749926,0,245.51,277.4,293.56,316.23,1
277,1,0.752774,0,254.02,277.76,301.84,316.05,1
278,1,0.759369,0,258.49,277.78,305.07,317.22,1
279,1,0.739898,0,256.43,277.99,303.48,316.39,1
280,1,0.751533,0,252.83,277.15,299.52,315.98,1
281,1,0.740401,0,249.8,277.66,296.93,316.43,1
282,1,0.748834,0,247.53,278.3,293.45,316.1,1
283,1,0.748384,0,245.15,278.21,291.02,316.96,1
284,1,0.753125,0,241.06,277.59,287.92,317.69,1
285,1,0.765206,0,238.92,278.87,284.69,317.24,1
286,1,0.742302,0,236.8,277.56,283.74,317.46,1
287,1,0.7401,0,243.81,277.04,289.91,316.94,1
288,1,0.749845,0,252.79,277.39,299.61,316.77,1
289,1,0.754515,0,261.74,277.87,308.12,316.43,1
290,1,0.748445,0,269.61,277.64,315.65,316.48,1
291,1,0.747168,0,277.08,277.46,321.72,316.73,1
292,1,0.743162,0,277.33,277.24,322.01,316.3,1
293,1,0.736555,0,274.6,278.46,319.72,316.08,1
294,1,0.740246,0,272.44,278.26,315.59,316.09,1
295,1,0.735039,0,269.36,277.7,313.28,316.47,1
296,1,0.733853,0,266.4,278.97,310.91,316.4,1
297,1,0.733842,0,264.16,278.74,308.35,316.28,1
298,1,0.72869,0,261.39,277.23,305.72,316.61,1
299,1,0.723174,0,264.64,277.32,310.17,316.18,1
300,1,0.713922,0,275.74,276.84,320.84,315.89,1
301,1,0.739302,0,285.03,276.48,330.58,316.05,1
302,1,0.731109,0,293.69,276.56,339.45,315.82,1
303,1,0.726096,0,302.1,276.68,347.55,315.59,1
304,1,0.729216,0,310.93,276.89,355.31,315.5,1
305,1,0.720111,0,318.7,276.84,362.6,315.52,1
306,1,0.707632,0,319.47,277.57,362.21,315.2,1
307,1,0.711797,0,317.18,277.98,360.33,315.56,1
308,1,0.72178,0,315.13,277.95,357.74,315.1,1
309,1,0.710938,0,312.99,277.61,354.9,315.1,1
310,1,0.709002,0,310.65,278.24,353.56,315.07,1
311,1,0.729807,0,308.84,277.85,351.39,315.15,1
312,1,0.707927,0,306.45,278.05,348.66,314.6,1
313,1,0.715732,0,304.31,277.66,346.74,315.26,1
314,1,0.702832,0,301.65,277.56,345.77,315.2,1
315,1,0.724858,0,300.38,277.51,344.09,315.48,1
316,1,0.692121,0,296.98,278.19,340.93,314.7,1
317,1,0.700468,0,294.77,278.09,339.01,315.35,1
318,1,0.694711,0,296.37,277.46,339.06,315.14,1
319,1,0.706724,0,305.12,277.6,349.44,314.43,1
320,1,0.710308,0,315.77,276.92,360.89,314.75,1
321,1,0.709919,0,324.97,277.05,367.45,313.86,1
322,1,0.706908,0,333.0,276.48,376.83,313.94,1
323,1,0.719692,0,341.35,276.71,384.65,313.59,1
324,1,0.714182,0,348.88,276.33,392.69,313.51,1
325,1,0.714127,0,355.31,276.31,397.0,313.62,1
326,1,0.695244,0,352.49,276.13,396.02,313.82,1
327,1,0.708372,0,350.21,276.3,393.78,313.77,1
328,1,0.729887,0,348.99,275.98,390.68,313.61,1
329,1,0.701772,0,345.15,275.65,388.67,313.29,1
330,1,0.728087,0,342.83,275.81,385.82,313.6,1
331,1,0.746349,0,341.15,275.41,382.94,313.21,1
332,1,0.704889,0,337.42,275.19,379.95,313.38,1
333,1,0.731554,0,335.2,275.59,377.57,313.49,1
334,1,0.744699,0,333.38,275.44,374.17,313.21,1
335,1,0.713563,0,330.24,275.03,371.79,313.46,1
336,1,0.746937,0,327.65,275.79,369.69,313.39,1
337,1,0.751448,0,325.74,275.62,365.14,312.75,1
338,1,0.712157,0,322.84,275.41,363.06,313.01,1
339,1,0.742744,0,320.1,275.88,360.94,313.21,1
340,1,0.740862,0,317.82,275.5,357.97,312.81,1
341,1,0.717318,0,313.68,275.1,354.89,312.77,1
342,1,0.75784,0,311.68,275.43,352.41,312.75,1
343,1,0.754599,0,309.45,275.25,349.25,312.54,1
344,1,0.730938,0,305.92,275.08,347.17,312.77,1
345,1,0.750634,0,303.25,275.0,344.79,313.0,1
346,1,0.747192,0,300.75,274.62,340.71,312.45,1
347,1,0.750655,0,296.08,273.76,339.14,312.78,1
348,1,0.744142,0,299.57,273.65,341.81,313.1,1
349,1,0.753101,0,308.91,273.83,351.24,312.69,1
350,1,0.749006,0,318.38,274.55,360.26,312.59,1
351,1,0.756789,0,326.59,274.77,368.42,312.12,1
352,1,0.748315,0,334.15,274.32,376.7,312.56,1
353,1,0.757988,0,341.82,274.8,382.1,312.36,1
354,1,0.758441,0,341.76,274.65,382.31,312.41,1
355,1,0.736518,0,337.88,274.28,380.06,312.54,1
356,1,0.756493,0,336.29,274.16,377.42,312.75,1
357,1,0.756229,0,333.7,274.35,373.96,312.53,1
358,1,0.742375,0,329.19,273.9,371.75,312.5,1
359,1,0.76349,0,326.7,274.41,367.83,312.09,1
360,1,0.750844,0,323.78,274.09,364.53,312.63,1
361,1,0.740944,0,321.86,274.0,363.72,312.23,1
362,1,0.768603,0,327.67,272.88,372.07,312.71,1
363,1,0.74297,0,337.31,273.33,381.32,312.39,1
364,1,0.751403,0,344.31,272.79,389.26,312.06,1
365,1,0.749565,0,352.26,272.73,396.58,311.93,1
366,1,0.77636,0,359.43,272.34,403.75,311.76,1
367,1,0.759376,0,364.57,272.45,406.61,311.89,1
368,1,0.741799,0,362.1,272.12,404.21,312.03,1
369,1,0.758618,0,358.21,272.71,401.13,311.87,1
370,1,0.753017,0,354.63,272.23,397.38,312.22,1
371,1,0.75325,0,350.65,272.84,393.6,311.69,1
372,1,0.751186,0,346.9,272.03,388.6,311.78,1
373,1,0.761275,0,342.77,272.58,384.97,311.84,1
374,1,0.76264,0,340.43,272.03,381.71,311.99,1
375,1,0.787442,0,343.37,272.05,387.13,311.42,1
376,1,0.758727,0,351.59,272.15,396.3,311.45,1
377,1,0.772902,0,359.3,271.77,404.02,311.09,1
378,1,0.749512,0,363.42,272.14,406.12,311.83,1
379,1,0.790886,0,359.39,272.35,402.63,311.13,1
380,1,0.757595,0,355.88,272.4,398.27,312.2,1
381,1,0.772742,0,351.27,272.11,394.91,311.44,1
382,1,0.745863,0,346.71,272.07,389.46,312.1,1
383,1,0.757769,0,342.28,273.09,384.4,311.87,1
384,1,0.757762,0,336.78,272.58,380.47,311.93,1
385,1,0.750461,0,333.57,272.54,376.01,311.93,1
386,1,0.768336,0,327.75,272.27,372.1,311.98,1
387,1,0.761154,0,324.35,272.58,366.37,312.4,1
388,1,0.764328,0,320.24,273.05,362.63,311.81,1
389,1,0.753402,0,316.04,272.78,357.47,312.58,1
390,1,0.752371,0,310.93,273.3,354.29,312.5,1
391,1,0.751538,0,306.77,273.09,349.46,313.12,1
392,1,0.744199,0,301.88,273.25,345.13,312.69,1
393,1,0.768271,0,294.88,272.53,340.66,313.22,1
394,1,0.758643,0,292.66,273.05,334.73,312.59,1
395,1,0.765238,0,287.47,272.97,331.05,312.8,1
396,1,0.746327,0,283.38,273.32,324.78,312.59,1
397,1,0.764866,0,278.24,273.59,321.14,312.65,1
398,1,0.744366,0,273.46,273.48,316.54,312.9,1
399,1,0.751895,0,269.59,273.25,312.56,312.81,1
400,1,0.755073,0,263.22,272.8,309.22,313.38,1
401,1,0.751053,0,260.44,273.35,303.41,313.15,1
402,1,0.766652,0,255.18,272.98,299.8,313.54,1
403,1,0.750357,0,259.62,273.21,302.32,313.42,1
404,1,0.75118,0,268.07,273.28,310.94,313.39,1
405,1,0.752131,0,270.17,274.63,312.3,313.12,1
406,1,0.73404,0,264.23,273.35,309.3,313.45,1
407,1,0.751776,0,261.0,273.91,303.7,313.05,1
408,1,0.745059,0,255.1,273.53,299.63,313.8,1
409,1,0.741306,0,251.48,273.86,293.62,313.02,1
410,1,0.740662,0,246.44,274.73,289.68,313.27,1
411,1,0.729759,0,241.56,274.03,285.08,313.51,1
412,1,0.743955,0,237.83,274.62,280.59,313.08,1
413,1,0.741251,0,237.28,274.68,279.91,313.24,1
414,1,0.740904,0,244.51,274.81,287.24,313.3,1
415,1,0.731456,0,252.29,274.87,294.21,313.52,1
416,1,0.729552,0,258.63,274.31,302.65,313.87,1
417,1,0.714611,0,264.02,274.82,307.86,313.56,1
418,1,0.732375,0,269.53,275.55,312.25,313.74,1
419,1,0.718491,0,266.85,275.04,309.21,314.04,1
420,1,0.737524,0,261.86,275.94,303.7,313.59,1
421,1,0.706985,0,255.85,275.6,300.14,313.89,1
422,1,0.730972,0,253.24,275.51,294.87,313.63,1
423,1,0.711116,0,248.01,276.03,290.47,314.18,1
424,1,0.732336,0,243.66,275.03,286.75,314.05,1
425,1,0.70612,0,237.97,275.6,282.45,314.33,1
426,1,0.716442,0,232.59,275.24,278.71,314.46,1
427,1,0.720335,0,228.76,275.91,272.69,314.43,1
428,1,0.695931,0,222.95,276.05,267.67,314.26,1
429,1,0.727988,0,219.25,276.1,263.09,314.43,1
430,1,0.713847,0,213.73,276.65,256.83,313.99,1
431,1,0.702974,0,207.64,276.01,252.43,314.06,1
432,1,0.729311,0,204.75,275.87,247.0,314.16,1
433,1,0.709184,0,198.44,276.69,242.37,314.25,1
434,1,0.714417,0,194.18,276.2,237.17,313.98,1
435,1,0.723506,0,189.12,276.08,232.27,313.8,1
436,1,0.70801,0,183.49,275.58,227.82,313.81,1
437,1,0.724914,0,186.45,275.35,230.58,314.06,1
438,1,0.722757,0,193.16,275.5,238.49,313.8,1
439,1,0.707607,0,200.0,274.96,244.82,313.81,1
440,1,0.703855,0,206.87,275.4,250.76,313.62,1
441,1,0.738455,0,213.59,275.68,255.89,313.41,1
442,1,0.7267,0,218.15,274.99,261.68,313.74,1
443,1,0.712594,0,222.65,275.78,266.92,313.98,1
444,1,0.734133,0,222.28,275.23,265.86,313.48,1
445,1,0.726267,0,216.39,274.33,260.2,313.45,1
446,1,0.758572,0,213.13,274.99,254.44,313.01,1
447,1,0.737431,0,206.81,274.67,250.2,313.41,1
448,1,0.740686,0,199.84,273.24,246.04,313.19,1
449,1,0.75213,0,196.26,273.41,240.11,312.95,1
450,1,0.748714,0,190.58,273.56,234.41,312.63,1
451,1,0.757529,0,184.04,272.97,228.53,312.55,1
452,1,0.766397,0,181.04,273.5,222.74,312.35,1
453,1,0.77536,0,182.69,273.41,225.46,311.96,1
454,1,0.763314,0,189.87,272.81,233.27,311.85,1
455,1,0.757952,0,196.84,271.89,240.84,312.08,1
456,1,0.76047,0,202.58,271.55,246.39,312.03,1
457,1,0.764791,0,204.26,271.43,246.98,311.79,1
458,1,0.76047,0,199.35,271.93,242.06,311.18,1
459,1,0.765009,0,193.18,271.37,237.64,311.05,1
460,1,0.769361,0,187.83,270.23,231.55,310.68,1
461,1,0.768068,0,183.48,271.62,225.65,309.61,1
462,1,0.753536,0,177.88,270.33,220.61,309.23,1
463,1,0.757605,0,172.15,269.71,215.76,309.3,1
464,1,0.751836,0,167.61,271.0,210.82,308.93,1
465,1,0.731672,0,162.04,269.46,205.23,308.25,1
466,1,0.71779,0,156.31,268.43,200.9,307.9,1
467,1,0.725668,0,151.81,269.45,195.17,307.55,1
468,1,0.714185,0,148.88,269.17,192.41,307.57,1
469,1,0.705863,0,153.31,268.91,196.88,306.77,1
470,1,0.701929,0,160.87,268.69,204.85,306.71,1
471,1,0.712438,0,166.9,267.7,211.51,306.73,1
472,1,0.728113,0,172.15,267.02,215.89,306.21,1
473,1,0.720458,0,168.36,267.38,211.58,305.95,1
474,1,0.723384,0,164.26,267.27,206.92,306.02,1
475,1,0.724611,0,158.08,267.25,201.32,305.61,1
476,1,0.732177,0,151.58,267.02,195.53,305.59,1
477,1,0.745264,0,148.24,266.65,190.4,305.68,1
478,1,0.723294,0,142.33,266.32,187.18,305.76,1
479,1,0.755235,0,147.3,265.92,190.15,305.17,1
480,1,0.746531,0,154.64,265.36,197.07,305.04,1
481,1,0.761032,0,159.64,265.32,204.41,304.43,1
482,1,0.771821,0,166.51,265.36,209.61,304.01,1
483,1,0.760755,0,172.32,264.53,216.18,304.3,1
484,1,0.769705,0,176.37,265.4,219.87,303.36,1
485,1,0.775212,0,182.48,265.41,224.44,303.1,1
486,1,0.764788,0,187.17,264.68,228.8,303.78,1
487,1,0.791368,0,191.69,264.52,235.03,302.63,1
488,1,0.762466,0,196.57,264.25,240.03,303.37,1
489,1,0.783016,0,200.49,264.4,244.23,303.16,1
490,1,0.755786,0,205.25,264.32,249.25,303.34,1
491,1,0.761169,0,210.51,263.94,253.39,303.73,1
492,1,0.775333,0,215.46,264.7,257.85,302.74,1
493,1,0.760668,0,220.5,263.99,263.12,303.96,1
494,1,0.78125,0,223.71,264.78,267.7,303.17,1
495,1,0.784953,0,222.92,264.63,267.53,303.6,1
496,1,0.774085,0,216.28,264.42,262.45,304.17,1
497,1,0.76055,0,212.43,264.34,255.83,304.17,1
498,1,0.793856,0,207.07,264.59,251.18,303.45,1
499,1,0.775535,0,200.77,264.72,245.08,303.51,1
500,1,0.806097,0,199.11,264.6,243.79,303.13,1
501,1,0.745748,0,204.86,264.36,249.48,303.92,1
502,1,0.76169,0,212.84,264.82,255.29,303.51,1
503,1,0.745522,0,217.65,264.64,261.72,303.62,1
504,1,0.773813,0,223.35,264.77,267.35,302.98,1
505,1,0.752671,0,228.74,264.91,271.14,303.67,1
506,1,0.772927,0,232.79,264.94,277.01,303.47,1
507,1,0.737084,0,238.59,265.28,281.95,303.23,1
508,1,0.751569,0,243.55,264.37,285.96,303.84,1
509,1,0.783561,0,247.02,264.68,291.29,303.32,1
510,1,0.749325,0,251.83,264.22,294.85,303.94,1
511,1,0.775156,0,256.41,264.78,299.78,303.67,1
512,1,0.752228,0,261.06,264.55,304.26,303.95,1
513,1,0.768955,0,265.1,264.95,308.14,303.64,1
514,1,0.748805,0,269.99,264.89,313.95,303.44,1
515,1,0.778546,0,272.74,264.95,316.1,303.56,1
516,1,0.74777,0,268.98,263.95,312.03,303.67,1
517,1,0.794455,0,262.63,264.24,308.33,303.44,1
518,1,0.770501,0,256.35,264.41,301.21,303.75,1
519,1,0.74961,0,251.23,263.11,295.31,304.38,1
520,1,0.750641,0,245.71,263.36,289.86,303.65,1
521,1,0.770667,0,239.59,263.27,285.78,303.71,1
522,1,0.73832,0,242.9,262.28,287.28,303.82,1
523,1,0.75279,0,249.4,263.11,293.46,302.93,1
524,1,0.7729,0,255.96,264.08,299.71,301.94,1
525,1,0.757142,0,261.63,262.93,304.59,302.76,1
526,1,0.752684,0,266.48,262.06,310.03,302.44,1
527,1,0.743019,0,271.51,264.16,313.98,301.92,1
528,1,0.727487,0,269.81,262.47,312.39,301.48,1
529,1,0.740035,0,263.8,262.15,308.36,300.4,1
530,1,0.720787,0,258.12,261.84,301.85,300.49,1
531,1,0.705507,0,251.8,260.59,295.65,300.61,1
532,1,0.744293,0,246.54,261.33,289.73,299.7,1
533,1,0.679426,0,240.18,260.45,284.54,299.44,1
