frame,detected,best_confidence,best_class_id,x1,y1,x2,y2,num_boxes
168,1,0.775755,0,746.16,562.7,865.25,670.26,1
169,1,0.581297,0,719.77,563.11,837.01,667.6,1
170,1,0.496238,0,710.48,564.12,823.62,666.86,1
171,1,0.641083,0,667.9,562.34,788.47,664.01,1
172,1,0.649648,0,650.55,563.29,765.75,665.81,1
173,1,0.465687,0,630.76,565.23,746.58,660.82,1
174,1,0.51948,0,613.15,564.86,727.17,659.81,1
175,1,0.65575,0,591.16,564.64,705.88,660.32,1
176,1,0.754928,0,574.59,563.89,694.26,660.89,1
177,1,0.672111,0,545.14,561.73,668.45,656.32,1
178,1,0.537766,0,539.65,561.11,657.03,661.42,1
179,1,0.551586,0,518.31,554.9,633.09,654.65,1
180,1,0.490816,0,493.29,545.24,621.69,662.67,2
181,0,,,,,,,0
182,0,,,,,,,0
183,0,,,,,,,0
184,0,,,,,,,0
185,0,,,,,,,0
186,1,0.261384,0,477.75,543.14,599.69,654.65,1
187,1,0.406743,0,489.35,546.98,597.5,653.72,1
188,0,,,,,,,0
189,0,,,,,,,0
190,0,,,,,,,0
191,0,,,,,,,0
192,0,,,,,,,0
193,1,0.331639,0,539.41,547.3,653.05,644.1,1
194,0,,,,,,,0
195,0,,,,,,,0
196,0,,,,,,,0
197,0,,,,,,,0
198,0,,,,,,,0
199,1,0.333055,0,600.67,537.54,731.52,639.81,1
200,1,0.630832,0,617.51,535.24,747.26,638.24,1
201,1,0.755293,0,638.72,534.11,767.29,634.33,1
202,1,0.820287,0,655.85,531.24,782.85,632.26,1
203,1,0.806696,0,666.9,529.69,797.32,632.7,1
204,1,0.813723,0,662.18,528.34,779.21,628.33,1
205,1,0.772403,0,651.13,526.75,766.44,627.58,1
206,1,0.764819,0,642.53,524.31,757.27,626.28,1
207,1,0.61742,0,640.84,524.65,749.39,625.27,1
208,1,0.630602,0,639.73,525.73,744.33,623.46,1
209,1,0.5962,0,630.9,526.73,730.07,620.15,1
210,1,0.563016,0,622.65,522.44,737.37,623.03,1
211,1,0.545423,0,616.33,519.49,737.45,621.56,1
212,1,0.59322,0,613.69,519.08,735.47,618.52,1
213,1,0.48714,0,607.23,519.2,730.61,620.36,1
214,1,0.625041,0,604.2,519.43,729.11,622.37,1
215,1,0.407023,0,591.74,519.28,714.16,620.5,1
216,0,,,,,,,0
217,0,,,,,,,0
218,0,,,,,,,0
219,0,,,,,,,0
220,0,,,,,,,0
221,0,,,,,,,0
222,0,,,,,,,0
223,0,,,,,,,0
224,0,,,,,,,0
225,0,,,,,,,0
226,0,,,,,,,0
227,0,,,,,,,0
228,0,,,,,,,0
229,0,,,,,,,0
230,0,,,,,,,0
231,0,,,,,,,0
232,0,,,,,,,0
233,0,,,,,,,0
234,0,,,,,,,0
235,1,0.351694,0,1773.29,0.0,1911.26,85.35,1
236,1,0.543836,0,615.44,506.29,729.28,601.72,2
237,1,0.695236,0,643.65,499.92,768.67,602.82,2
238,1,0.52647,0,661.81,502.43,781.25,602.41,2
239,1,0.406487,0,661.02,503.61,772.52,601.81,2
240,1,0.412925,0,658.93,499.53,774.31,602.34,2
241,1,0.471081,0,659.35,500.04,770.38,601.44,2
242,1,0.515436,0,659.77,502.06,773.71,600.78,2
243,1,0.54458,0,663.05,497.69,787.03,601.63,2
244,1,0.561344,0,666.62,501.56,783.36,601.41,2
245,1,0.434798,0,675.68,499.35,785.73,601.36,2
246,1,0.592869,0,678.57,501.55,796.45,602.02,2
247,1,0.674786,0,684.73,500.58,808.27,603.69,2
248,1,0.718149,0,690.39,501.27,811.46,602.67,2
249,1,0.510511,0,702.86,500.19,815.69,602.96,2
250,1,0.372136,0,1773.48,0.0,1911.29,85.71,2
251,1,0.517672,0,716.46,499.34,833.56,602.61,2
252,1,0.463962,0,728.3,500.71,843.16,602.86,2
253,1,0.690637,0,737.66,502.17,852.42,602.38,2
254,1,0.607046,0,749.49,498.39,864.02,602.79,2
255,1,0.728227,0,759.77,501.79,877.56,602.68,2
